,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
2005-01-04,600000.XSHG,600002.XSHG,600004.XSHG,600005.XSHG,600006.XSHG,600008.XSHG,600009.XSHG,600011.XSHG,600015.XSHG,600016.XSHG,600019.XSHG,600020.XSHG,600021.XSHG,600026.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600033.XSHG,600036.XSHG,600050.XSHG,600100.XSHG,600104.XSHG,600171.XSHG,600205.XSHG,600210.XSHG,600350.XSHG,600500.XSHG,600569.XSHG,600591.XSHG,600601.XSHG,600602.XSHG,600609.XSHG,600642.XSHG,600643.XSHG,600649.XSHG,600660.XSHG,600688.XSHG,600705.XSHG,600717.XSHG,600780.XSHG,600795.XSHG,600808.XSHG,600812.XSHG,600832.XSHG,600839.XSHG,600879.XSHG,600887.XSHG,600895.XSHG,600900.XSHG,
2005-01-05,600000.XSHG,600002.XSHG,600004.XSHG,600005.XSHG,600006.XSHG,600008.XSHG,600009.XSHG,600011.XSHG,600015.XSHG,600016.XSHG,600019.XSHG,600020.XSHG,600021.XSHG,600026.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600033.XSHG,600036.XSHG,600050.XSHG,600100.XSHG,600104.XSHG,600171.XSHG,600205.XSHG,600210.XSHG,600350.XSHG,600500.XSHG,600569.XSHG,600591.XSHG,600601.XSHG,600602.XSHG,600609.XSHG,600642.XSHG,600643.XSHG,600649.XSHG,600660.XSHG,600688.XSHG,600705.XSHG,600717.XSHG,600780.XSHG,600795.XSHG,600808.XSHG,600812.XSHG,600832.XSHG,600839.XSHG,600879.XSHG,600887.XSHG,600895.XSHG,600900.XSHG,
2005-01-06,600000.XSHG,600002.XSHG,600004.XSHG,600005.XSHG,600006.XSHG,600008.XSHG,600009.XSHG,600011.XSHG,600015.XSHG,600016.XSHG,600019.XSHG,600020.XSHG,600021.XSHG,600026.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600033.XSHG,600036.XSHG,600050.XSHG,600100.XSHG,600104.XSHG,600171.XSHG,600205.XSHG,600210.XSHG,600350.XSHG,600500.XSHG,600569.XSHG,600591.XSHG,600601.XSHG,600602.XSHG,600609.XSHG,600642.XSHG,600643.XSHG,600649.XSHG,600660.XSHG,600688.XSHG,600705.XSHG,600717.XSHG,600780.XSHG,600795.XSHG,600808.XSHG,600812.XSHG,600832.XSHG,600839.XSHG,600879.XSHG,600887.XSHG,600895.XSHG,600900.XSHG,
2005-01-07,600000.XSHG,600002.XSHG,600004.XSHG,600005.XSHG,600006.XSHG,600008.XSHG,600009.XSHG,600011.XSHG,600015.XSHG,600016.XSHG,600019.XSHG,600020.XSHG,600021.XSHG,600026.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600033.XSHG,600036.XSHG,600050.XSHG,600100.XSHG,600104.XSHG,600171.XSHG,600205.XSHG,600210.XSHG,600350.XSHG,600500.XSHG,600569.XSHG,600591.XSHG,600601.XSHG,600602.XSHG,600609.XSHG,600642.XSHG,600643.XSHG,600649.XSHG,600660.XSHG,600688.XSHG,600705.XSHG,600717.XSHG,600780.XSHG,600795.XSHG,600808.XSHG,600812.XSHG,600832.XSHG,600839.XSHG,600879.XSHG,600887.XSHG,600895.XSHG,600900.XSHG,
2005-01-10,600000.XSHG,600002.XSHG,600004.XSHG,600005.XSHG,600006.XSHG,600008.XSHG,600009.XSHG,600011.XSHG,600015.XSHG,600016.XSHG,600019.XSHG,600020.XSHG,600021.XSHG,600026.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600033.XSHG,600036.XSHG,600050.XSHG,600100.XSHG,600104.XSHG,600171.XSHG,600205.XSHG,600210.XSHG,600350.XSHG,600500.XSHG,600569.XSHG,600591.XSHG,600601.XSHG,600602.XSHG,600609.XSHG,600642.XSHG,600643.XSHG,600649.XSHG,600660.XSHG,600688.XSHG,600705.XSHG,600717.XSHG,600780.XSHG,600795.XSHG,600808.XSHG,600812.XSHG,600832.XSHG,600839.XSHG,600879.XSHG,600887.XSHG,600895.XSHG,600900.XSHG,
2005-01-11,600000.XSHG,600002.XSHG,600004.XSHG,600005.XSHG,600006.XSHG,600008.XSHG,600009.XSHG,600011.XSHG,600015.XSHG,600016.XSHG,600019.XSHG,600020.XSHG,600021.XSHG,600026.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600033.XSHG,600036.XSHG,600050.XSHG,600100.XSHG,600104.XSHG,600171.XSHG,600205.XSHG,600210.XSHG,600350.XSHG,600500.XSHG,600569.XSHG,600591.XSHG,600601.XSHG,600602.XSHG,600609.XSHG,600642.XSHG,600643.XSHG,600649.XSHG,600660.XSHG,600688.XSHG,600705.XSHG,600717.XSHG,600780.XSHG,600795.XSHG,600808.XSHG,600812.XSHG,600832.XSHG,600839.XSHG,600879.XSHG,600887.XSHG,600895.XSHG,600900.XSHG,
2005-01-12,600000.XSHG,600002.XSHG,600004.XSHG,600005.XSHG,600006.XSHG,600008.XSHG,600009.XSHG,600011.XSHG,600015.XSHG,600016.XSHG,600019.XSHG,600020.XSHG,600021.XSHG,600026.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600033.XSHG,600036.XSHG,600050.XSHG,600100.XSHG,600104.XSHG,600171.XSHG,600205.XSHG,600210.XSHG,600350.XSHG,600500.XSHG,600569.XSHG,600591.XSHG,600601.XSHG,600602.XSHG,600609.XSHG,600642.XSHG,600643.XSHG,600649.XSHG,600660.XSHG,600688.XSHG,600705.XSHG,600717.XSHG,600780.XSHG,600795.XSHG,600808.XSHG,600812.XSHG,600832.XSHG,600839.XSHG,600879.XSHG,600887.XSHG,600895.XSHG,600900.XSHG,
2005-01-13,600000.XSHG,600002.XSHG,600004.XSHG,600005.XSHG,600006.XSHG,600008.XSHG,600009.XSHG,600011.XSHG,600015.XSHG,600016.XSHG,600019.XSHG,600020.XSHG,600021.XSHG,600026.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600033.XSHG,600036.XSHG,600050.XSHG,600100.XSHG,600104.XSHG,600171.XSHG,600205.XSHG,600210.XSHG,600350.XSHG,600500.XSHG,600569.XSHG,600591.XSHG,600601.XSHG,600602.XSHG,600609.XSHG,600642.XSHG,600643.XSHG,600649.XSHG,600660.XSHG,600688.XSHG,600705.XSHG,600717.XSHG,600780.XSHG,600795.XSHG,600808.XSHG,600812.XSHG,600832.XSHG,600839.XSHG,600879.XSHG,600887.XSHG,600895.XSHG,600900.XSHG,
2005-01-14,600000.XSHG,600002.XSHG,600004.XSHG,600005.XSHG,600006.XSHG,600008.XSHG,600009.XSHG,600011.XSHG,600015.XSHG,600016.XSHG,600019.XSHG,600020.XSHG,600021.XSHG,600026.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600033.XSHG,600036.XSHG,600050.XSHG,600100.XSHG,600104.XSHG,600171.XSHG,600205.XSHG,600210.XSHG,600350.XSHG,600500.XSHG,600569.XSHG,600591.XSHG,600601.XSHG,600602.XSHG,600609.XSHG,600642.XSHG,600643.XSHG,600649.XSHG,600660.XSHG,600688.XSHG,600705.XSHG,600717.XSHG,600780.XSHG,600795.XSHG,600808.XSHG,600812.XSHG,600832.XSHG,600839.XSHG,600879.XSHG,600887.XSHG,600895.XSHG,600900.XSHG,
2005-01-17,600000.XSHG,600002.XSHG,600004.XSHG,600005.XSHG,600006.XSHG,600008.XSHG,600009.XSHG,600011.XSHG,600015.XSHG,600016.XSHG,600019.XSHG,600020.XSHG,600021.XSHG,600026.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600033.XSHG,600036.XSHG,600050.XSHG,600100.XSHG,600104.XSHG,600171.XSHG,600205.XSHG,600210.XSHG,600350.XSHG,600500.XSHG,600569.XSHG,600591.XSHG,600601.XSHG,600602.XSHG,600609.XSHG,600642.XSHG,600643.XSHG,600649.XSHG,600660.XSHG,600688.XSHG,600705.XSHG,600717.XSHG,600780.XSHG,600795.XSHG,600808.XSHG,600812.XSHG,600832.XSHG,600839.XSHG,600879.XSHG,600887.XSHG,600895.XSHG,600900.XSHG,
2005-01-18,600000.XSHG,600002.XSHG,600004.XSHG,600005.XSHG,600006.XSHG,600008.XSHG,600009.XSHG,600011.XSHG,600015.XSHG,600016.XSHG,600019.XSHG,600020.XSHG,600021.XSHG,600026.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600033.XSHG,600036.XSHG,600050.XSHG,600100.XSHG,600104.XSHG,600171.XSHG,600205.XSHG,600210.XSHG,600350.XSHG,600500.XSHG,600569.XSHG,600591.XSHG,600601.XSHG,600602.XSHG,600609.XSHG,600642.XSHG,600643.XSHG,600649.XSHG,600660.XSHG,600688.XSHG,600705.XSHG,600717.XSHG,600780.XSHG,600795.XSHG,600808.XSHG,600812.XSHG,600832.XSHG,600839.XSHG,600879.XSHG,600887.XSHG,600895.XSHG,600900.XSHG,
2005-01-19,600000.XSHG,600002.XSHG,600004.XSHG,600005.XSHG,600006.XSHG,600008.XSHG,600009.XSHG,600011.XSHG,600015.XSHG,600016.XSHG,600019.XSHG,600020.XSHG,600021.XSHG,600026.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600033.XSHG,600036.XSHG,600050.XSHG,600100.XSHG,600104.XSHG,600171.XSHG,600205.XSHG,600210.XSHG,600350.XSHG,600500.XSHG,600569.XSHG,600591.XSHG,600601.XSHG,600602.XSHG,600609.XSHG,600642.XSHG,600643.XSHG,600649.XSHG,600660.XSHG,600688.XSHG,600705.XSHG,600717.XSHG,600780.XSHG,600795.XSHG,600808.XSHG,600812.XSHG,600832.XSHG,600839.XSHG,600879.XSHG,600887.XSHG,600895.XSHG,600900.XSHG,
2005-01-20,600000.XSHG,600002.XSHG,600004.XSHG,600005.XSHG,600006.XSHG,600008.XSHG,600009.XSHG,600011.XSHG,600015.XSHG,600016.XSHG,600019.XSHG,600020.XSHG,600021.XSHG,600026.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600033.XSHG,600036.XSHG,600050.XSHG,600100.XSHG,600104.XSHG,600171.XSHG,600205.XSHG,600210.XSHG,600350.XSHG,600500.XSHG,600569.XSHG,600591.XSHG,600601.XSHG,600602.XSHG,600609.XSHG,600642.XSHG,600643.XSHG,600649.XSHG,600660.XSHG,600688.XSHG,600705.XSHG,600717.XSHG,600780.XSHG,600795.XSHG,600808.XSHG,600812.XSHG,600832.XSHG,600839.XSHG,600879.XSHG,600887.XSHG,600895.XSHG,600900.XSHG,
2005-01-21,600000.XSHG,600002.XSHG,600004.XSHG,600005.XSHG,600006.XSHG,600008.XSHG,600009.XSHG,600011.XSHG,600015.XSHG,600016.XSHG,600019.XSHG,600020.XSHG,600021.XSHG,600026.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600033.XSHG,600036.XSHG,600050.XSHG,600100.XSHG,600104.XSHG,600171.XSHG,600205.XSHG,600210.XSHG,600350.XSHG,600500.XSHG,600569.XSHG,600591.XSHG,600601.XSHG,600602.XSHG,600609.XSHG,600642.XSHG,600643.XSHG,600649.XSHG,600660.XSHG,600688.XSHG,600705.XSHG,600717.XSHG,600780.XSHG,600795.XSHG,600808.XSHG,600812.XSHG,600832.XSHG,600839.XSHG,600879.XSHG,600887.XSHG,600895.XSHG,600900.XSHG,
2005-01-24,600000.XSHG,600002.XSHG,600004.XSHG,600005.XSHG,600006.XSHG,600008.XSHG,600009.XSHG,600011.XSHG,600015.XSHG,600016.XSHG,600019.XSHG,600020.XSHG,600021.XSHG,600026.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600033.XSHG,600036.XSHG,600050.XSHG,600100.XSHG,600104.XSHG,600171.XSHG,600205.XSHG,600210.XSHG,600350.XSHG,600500.XSHG,600569.XSHG,600591.XSHG,600601.XSHG,600602.XSHG,600609.XSHG,600642.XSHG,600643.XSHG,600649.XSHG,600660.XSHG,600688.XSHG,600705.XSHG,600717.XSHG,600780.XSHG,600795.XSHG,600808.XSHG,600812.XSHG,600832.XSHG,600839.XSHG,600879.XSHG,600887.XSHG,600895.XSHG,600900.XSHG,
2005-01-25,600000.XSHG,600002.XSHG,600004.XSHG,600005.XSHG,600006.XSHG,600008.XSHG,600009.XSHG,600011.XSHG,600015.XSHG,600016.XSHG,600019.XSHG,600020.XSHG,600021.XSHG,600026.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600033.XSHG,600036.XSHG,600050.XSHG,600100.XSHG,600104.XSHG,600171.XSHG,600205.XSHG,600210.XSHG,600350.XSHG,600500.XSHG,600569.XSHG,600591.XSHG,600601.XSHG,600602.XSHG,600609.XSHG,600642.XSHG,600643.XSHG,600649.XSHG,600660.XSHG,600688.XSHG,600705.XSHG,600717.XSHG,600780.XSHG,600795.XSHG,600808.XSHG,600812.XSHG,600832.XSHG,600839.XSHG,600879.XSHG,600887.XSHG,600895.XSHG,600900.XSHG,
